RK,Symbol,Date,N1_Prev_Close,N1_Open_Price,N1_High_Price,N1_Low_Price,N1_Last_Price,N1_Close_Price,N1_Average_Price,N1_Total_Traded_Quantity,N1_Turnover,N1_No_of_Trades,N2_Prev_Close,N2_Open_Price,N2_High_Price,N2_Low_Price,N2_Last_Price,N2_Close_Price,N2_Average_Price,N2_Total_Traded_Quantity,N2_Turnover,N2_No_of_Trades,N3_Prev_Close,N3_Open_Price,N3_High_Price,N3_Low_Price,N3_Last_Price,N3_Close_Price,N3_Average_Price,N3_Total_Traded_Quantity,N3_Turnover,N3_No_of_Trades,N4_Prev_Close,N4_Open_Price,N4_High_Price,N4_Low_Price,N4_Last_Price,N4_Close_Price,N4_Average_Price,N4_Total_Traded_Quantity,N4_Turnover,N4_No_of_Trades,N5_Prev_Close,N5_Open_Price,N5_High_Price,N5_Low_Price,N5_Last_Price,N5_Close_Price,N5_Average_Price,N5_Total_Traded_Quantity,N5_Turnover,N5_No_of_Trades,N6_Prev_Close,N6_Open_Price,N6_High_Price,N6_Low_Price,N6_Last_Price,N6_Close_Price,N6_Average_Price,N6_Total_Traded_Quantity,N6_Turnover,N6_No_of_Trades,N7_Prev_Close,N7_Open_Price,N7_High_Price,N7_Low_Price,N7_Last_Price,N7_Close_Price,N7_Average_Price,N7_Total_Traded_Quantity,N7_Turnover,N7_No_of_Trades,N8_Prev_Close,N8_Open_Price,N8_High_Price,N8_Low_Price,N8_Last_Price,N8_Close_Price,N8_Average_Price,N8_Total_Traded_Quantity,N8_Turnover,N8_No_of_Trades,N9_Prev_Close,N9_Open_Price,N9_High_Price,N9_Low_Price,N9_Last_Price,N9_Close_Price,N9_Average_Price,N9_Total_Traded_Quantity,N9_Turnover,N9_No_of_Trades,N10_Prev_Close,N10_Open_Price,N10_High_Price,N10_Low_Price,N10_Last_Price,N10_Close_Price,N10_Average_Price,N10_Total_Traded_Quantity,N10_Turnover,N10_No_of_Trades,Max_N1toN5,Min_N1toN5,Max_N1toN10,Min_N1toN10,Max_Next_N1toN5,Min_Next_N1toN5,Max_Next_N1toN10,Min_Next_N1toN10,diff%_nextweeklymax_and_n5close,diff%_min_next_min_N1toN5,diff%_max_next_max_N1toN5,diff%_min_next_min_N1toN10,diff%_max_next_max_N1toN10,Derived5,Derived10,Date_as_Interger
1,ACC,10-01-2018,1812.05,1812.05,1823,1801.4,1812.15,1816.55,1811.17,175749,318311890.7,6577,1816.55,1825,1825.05,1798.55,1802.15,1802.1,1809.2,138505,250582586.5,6856,1802.1,1805,1820,1794,1801.35,1804.95,1805.69,191817,346362205.1,9730,1804.95,1809.9,1834.45,1792.45,1832,1830,1813.53,269413,488588436.2,15034,1830,1835,1857.45,1826.1,1854,1850.25,1845.62,386131,712651369.5,18261,1850.25,1850,1852.45,1826.2,1842,1840.5,1840.29,179153,329694339.9,7765,1840.5,1840.5,1852,1823.5,1826.35,1839,1840.26,733461,1349756211,10746,1839,1828.25,1836.35,1811,1835,1829.5,1823.31,267132,487063416.1,10064,1829.5,1816.5,1832.55,1805.5,1820,1827.2,1820.56,236750,431017479.1,8276,1827.2,1825,1825,1782.25,1788,1790.15,1799.08,248086,446327214.3,13641,1857.45,1792.45,1857.45,1782.25,1792.7,1700.05,1792.7,1565,-0.03,0.05,0.03,0.12,0.03,0,0,20180110
2,ACC,24-01-2018,1790.15,1787.8,1792.7,1732.15,1740,1737.5,1754.25,516780,906561384.5,25362,1737.5,1739.9,1753.4,1720,1733.8,1726.4,1736.84,604042,1049125294,16645,1726.4,1735.15,1754.95,1729.8,1738.75,1738.7,1741.15,214335,373188494.5,12960,1738.7,1728,1740,1722,1734,1728.1,1727.09,150137,259299539.8,15494,1728.1,1728.1,1737.9,1700.05,1716.2,1715.25,1722.88,335683,578342225.5,11381,1715.25,1723,1744.85,1695.1,1730.2,1737,1723.01,300979,518590229.9,22783,1737,1725.9,1728.95,1675.1,1685,1679.8,1695.81,262985,445973117.8,14562,1679.8,1667,1667,1612.9,1648,1641.15,1627.74,486961,792646936.6,26128,1641.15,1595,1640.6,1565,1620,1618.95,1607.19,375432,603390161.6,18368,1618.95,1627,1644.85,1575.8,1577.9,1587.4,1605.9,286280,459737104.5,16318,1792.7,1700.05,1792.7,1565,1707.25,1568.3,1707.25,1568.3,0,0.08,0.05,0,0.05,0,0,20180124
3,ACC,08-02-2018,1587.4,1589.85,1707.25,1568.3,1687,1693.25,1642.75,1516076,2490539736,45716,1693.25,1652,1684.4,1650.1,1663.1,1660.95,1667.13,478965,798494649.8,19483,1660.95,1678,1685,1645,1647,1651.55,1662.95,252902,420563337.2,11960,1651.55,1652,1661.1,1620,1620,1629.7,1638.8,206639,338640832.6,10470,1629.7,1626.55,1651.3,1611.1,1622.55,1621.3,1634.61,543661,888675987.2,29847,1621.3,1634,1661,1630.15,1645.25,1650.6,1651.41,523625,864717059.1,26122,1650.6,1655.85,1665,1621,1635,1633.7,1640.03,259386,425400995.1,11458,1633.7,1644,1652.4,1622,1646.8,1640.35,1637.15,247989,405994040.9,12508,1640.35,1656.55,1662,1639,1641.15,1645.25,1652.53,322498,532937489.8,12323,1645.25,1635,1641.15,1617,1625.25,1632.35,1630.49,413249,673799809.5,11071,1707.25,1568.3,1707.25,1568.3,1675.5,1615.45,1675.5,1528,0.03,-0.03,0.02,0.03,0.02,0,0,20180208
4,ACC,23-02-2018,1632.35,1630,1658.1,1627.55,1651.2,1651.45,1644.61,301333,495574223.9,13600,1651.45,1659.8,1675.5,1652.65,1661.25,1661.05,1665.17,137471,228912325.8,6822,1661.05,1655,1660,1624,1630.9,1632.8,1635.06,333670,545569798,15557,1632.8,1618,1635.15,1615.45,1624.55,1623.05,1624.09,208350,338378876.9,13952,1623.05,1624.9,1642.9,1624.7,1637.4,1633.8,1633.61,128434,209811619.1,5586,1633.8,1626.4,1631.1,1593.5,1600,1606.15,1606.42,190051,305301306.1,14935,1606.15,1614.7,1617,1591,1591,1595.3,1601.95,238297,381739943.2,20066,1595.3,1590.15,1594.8,1570,1571.95,1575.2,1580.87,221080,349499800.6,10315,1575.2,1577,1584.7,1542.75,1544.95,1544.95,1551.94,296149,459604612.2,15331,1544.95,1554,1554,1528,1528.1,1531.85,1535.7,289181,444095508,13874,1675.5,1615.45,1675.5,1528,1623.45,1521,1623.45,1517.65,-0.01,0.06,0.03,0.01,0.03,0,0,20180223
5,ACC,12-03-2018,1531.85,1536.7,1564.05,1521,1561.65,1559.9,1541.5,270932,417640350.1,12213,1559.9,1575.15,1582,1557.4,1568,1575.35,1571.75,441704,694249722,20462,1575.35,1567.65,1623.45,1565,1616.45,1612,1603.15,296145,474765455,14691,1612,1616.75,1617,1596.1,1597,1603.15,1606.22,227343,365163956.4,10328,1603.15,1599.9,1607.25,1552.7,1576,1567.95,1576.21,253481,399538110.1,12858,1567.95,1571.5,1573.7,1535.55,1571.1,1562.9,1557.32,195095,303825529.8,7559,1562.9,1557.65,1573.5,1527,1552,1554.8,1549.64,339628,526302321,9707,1554.8,1556.5,1574.25,1544.75,1551.1,1558.4,1561.11,216483,337952793.8,10929,1558.4,1558,1571,1539.85,1549,1549.4,1553.45,319159,495798675.4,15131,1549.4,1530.35,1539.75,1517.65,1530.05,1528.55,1527.12,208904,319021789.3,15884,1623.45,1521,1623.45,1517.65,1562,1498.95,1576.85,1498.95,0,0.01,0.04,0.01,0.03,0,0,20180312
6,ACC,26-03-2018,1528.55,1530,1539.4,1522.35,1534.9,1533.15,1529.15,240635,367967079.8,11415,1533.15,1541.25,1547.65,1514,1519.9,1524,1526.55,249518,380901376.8,14465,1524,1512,1520.9,1498.95,1502,1507.5,1508.64,835875,1261032269,22779,1507.5,1509.4,1545,1509.4,1538.05,1536.95,1528.38,420761,643081141.3,19324,1536.95,1534,1562,1534,1549,1554.8,1546.88,201412,311560275.4,7072,1554.8,1554,1576.85,1525.85,1532,1530,1553.23,171614,266555404.2,10236,1530,1551.4,1559.7,1536.9,1554.9,1552.35,1550.49,198303,307466682.1,10546,1552.35,1558,1560.95,1542.85,1546.25,1553.25,1552.35,119196,185033652.6,6261,1553.25,1552.9,1559.15,1535.65,1540,1541.3,1545.84,175732,271654135.8,7905,1541.3,1555.9,1555.9,1531.45,1537.95,1539.15,1541.06,112086,172731318.9,6144,1562,1498.95,1576.85,1498.95,1600,1520,1629,1520,0.03,-0.01,-0.02,-0.01,-0.03,0,0,20180326
7,ACC,11-04-2018,1539.15,1531.9,1543.5,1520.1,1531,1533.55,1531.16,319761,489605559,12090,1533.55,1526.1,1532.4,1520,1520,1524.95,1525.98,248295,378893823,15288,1524.95,1528,1545,1521.6,1533,1536.45,1535.49,247502,380036722.9,9315,1536.45,1531.7,1582.85,1530,1582.8,1576.5,1559.08,223315,348165616.7,9553,1576.5,1587.7,1600,1572.55,1589,1586.95,1585.67,301195,477595280.4,13988,1586.95,1599,1602.7,1561.95,1570,1573.5,1584.82,489407,775619577,14949,1573.5,1605,1629,1561,1563,1571.35,1600.61,871706,1395259203,27632,1571.35,1567.8,1585,1552.6,1557.8,1561.65,1570.47,280273,440160861.2,10629,1561.65,1560,1581.8,1552,1570,1565.3,1565.5,302886,474168705.7,11209,1565.3,1570,1581.95,1557.45,1561,1562,1568.38,171800,269447397.2,9683,1600,1520,1629,1520,1599.9,1536.25,1599.9,1500.3,0.01,-0.01,0,0.01,0.02,0,0,20180411
8,ACC,25-04-2018,1562,1560.9,1577.7,1548.95,1574,1567.65,1563.26,316302,494462243.3,13157,1567.65,1573.8,1573.8,1536.25,1554,1545.4,1552.91,331931,515458368.7,14730,1545.4,1551.9,1564.45,1546.55,1560,1559.6,1555.81,228633,355708989,13851,1559.6,1564.85,1599.9,1563,1583.5,1587.15,1587.33,265415,421301133.9,12356,1587.15,1584.45,1595.3,1548.7,1554.8,1557.15,1572.78,271941,427702493.6,11284,1557.15,1557,1563.15,1532.1,1534.65,1537.8,1545.97,191433,295949566.8,11336,1537.8,1541.95,1548.7,1523.55,1527.15,1527.75,1534.09,218311,334909734.2,9242,1527.75,1530,1542,1515.75,1524.9,1523.5,1525.78,286007,436384922.5,11448,1523.5,1526.2,1531,1515.3,1524.55,1518.65,1522.67,199827,304271287.3,8713,1518.65,1520.9,1525.75,1500.3,1509,1509.65,1508.65,387123,584032278.6,9945,1599.9,1536.25,1599.9,1500.3,1515.15,1398.45,1515.15,1308.1,-0.03,0.09,0.05,0.13,0.05,0,0,20180425
9,ACC,10-05-2018,1509.65,1511,1515.15,1483.55,1489,1493.85,1495.75,241543,361287156.9,10149,1493.85,1499,1499,1461.35,1466,1466.55,1473.98,361860,533373180.9,15955,1466.55,1465.1,1478.65,1439.3,1450.5,1451.2,1453.78,380794,553589240.3,13195,1451.2,1447.7,1452.5,1405,1409.65,1411.65,1423.77,589518,839340795.8,34218,1411.65,1407.9,1424.75,1398.45,1409.25,1410.8,1414.13,377122,533300825.3,23339,1410.8,1401,1420,1397,1398.15,1400.5,1406.25,331066,465562111.2,17635,1400.5,1400.5,1405.45,1365.25,1368,1374.35,1382.48,432586,598040214.2,24736,1374.35,1379,1379.9,1322.6,1349.65,1344.1,1344.81,380473,511664798,17553,1344.1,1342.2,1343.9,1313.05,1320.25,1325.3,1325.34,534896,708918215.6,29477,1325.3,1320.25,1328.95,1308.1,1313.75,1313.75,1315.44,582944,766829113.3,28114,1515.15,1398.45,1515.15,1308.1,1350,1290,1371,1265,-0.05,0.08,0.11,0.03,0.1,0,0,20180510
10,ACC,24-05-2018,1313.75,1320,1350,1290,1335.9,1332.8,1314.7,691073,908554200.3,32266,1332.8,1333.5,1335.95,1308.25,1320.75,1322.85,1319.15,395131,521238589.9,29292,1322.85,1324.9,1335.7,1315,1320.15,1322.5,1327.92,750519,996627310.4,27108,1322.5,1321.05,1337.7,1301.2,1310.05,1310,1311.83,894054,1172847631,28856,1310,1300,1317.1,1297.3,1313,1309.4,1308.84,994798,1302034756,43477,1309.4,1315,1364,1302.6,1358,1354.6,1348.61,3873328,5223620633,103723,1354.6,1361,1371,1316.55,1332,1326.7,1346.95,829344,1117085497,34365,1326.7,1343,1353.5,1303.25,1308,1308.05,1323.03,558346,738708667.8,21895,1308.05,1305.25,1306.65,1265,1285,1285.05,1281.81,759372,973372392.3,54271,1285.05,1285,1319.3,1270.5,1314.85,1315.95,1302.69,592872,772328295.7,21922,1350,1290,1371,1265,1349.4,1305.5,1349.4,1268.8,0.03,-0.01,0,0,0.02,0,0,20180524
